Credit Score,Finance Type,LTV,Binded TW
582,Purchase,1.450,0
582,Refi,0.992,0
582,Purchase,1.269,0
582,Refi,1.445,0
582,Refi,1.309,0
582,Purchase,0.966,0
582,Purchase,1.386,0
582,Purchase,1.270,0
582,Purchase,1.111,0
582,Refi,1.046,0.11
582,Refi,1.319,0
582,Refi,1.322,0
582,Refi,1.376,0.15
582,Refi,1.253,0
582,Refi,1.259,0
582,Refi,1.267,0
582,Refi,1.113,0
582,Refi,1.146,0
582,Refi,1.209,0.09
583,Purchase,1.269,0.13
583,Refi,0.884,0
583,Purchase,1.314,0
583,Refi,1.441,0
583,Refi,1.499,0
583,Refi,1.080,0
583,Refi,1.105,0
583,Refi,1.327,0
583,Refi,1.353,0
583,Refi,1.265,0
583,Refi,1.116,0
583,Refi,1.130,0
583,Refi,1.147,0
583,Refi,1.149,0.09
583,Refi,1.194,0
584,Refi,0.739,0
584,Purchase,1.022,0
584,Purchase,1.444,0
584,Purchase,0.931,0
584,Purchase,1.169,0
584,Purchase,1.184,0
584,Refi,1.410,0
584,Refi,1.438,0
584,Refi,1.020,0
584,Refi,1.317,0
584,Refi,1.319,0
584,Refi,1.396,0
584,Refi,1.219,0
584,Refi,1.253,0
584,Refi,1.301,0
584,Refi,1.117,0
584,Refi,1.143,0
584,Refi,1.171,0
584,Refi,1.182,0
584,Refi,1.185,0
584,Refi,1.207,0
585,Refi,1.610,0
585,Purchase,1.386,0.17
585,Refi,0.908,0
585,Purchase,1.463,0
585,Refi,0.960,0
585,Purchase,1.031,0
585,Purchase,1.039,0
585,Purchase,1.043,0
585,Purchase,1.118,0
585,Purchase,1.129,0
585,Purchase,1.169,0
585,Refi,1.056,0
585,Refi,1.106,0
585,Refi,1.338,0
585,Refi,1.220,0.08
585,Refi,1.304,0
585,Refi,1.135,0
585,Refi,1.170,0
586,Purchase,0.742,0
586,Refi,0.973,0
586,Purchase,1.207,0.1
586,Refi,0.882,0.33
586,Purchase,1.381,0
586,Purchase,1.295,0
586,Purchase,1.128,0
586,Refi,1.416,0
586,Refi,1.419,0
586,Refi,1.429,0
586,Refi,1.431,0
586,Refi,1.435,0
586,Refi,1.027,0
586,Refi,1.089,0
586,Refi,1.396,0
586,Refi,1.159,0
586,Refi,1.176,0
587,Purchase,0.687,0
587,Purchase,0.938,0
587,Refi,1.017,0
587,Purchase,0.922,0
587,Purchase,1.107,0
587,Refi,1.072,0
587,Refi,1.379,0
587,Refi,1.226,0
587,Refi,1.237,0
587,Refi,1.240,0
587,Refi,1.276,0
587,Refi,1.285,0
587,Refi,1.308,0
587,Refi,1.158,0
588,Purchase,1.226,0
588,Purchase,1.155,0
588,Refi,1.426,0
588,Refi,1.50728,0
588,Refi,1.076,0
588,Refi,1.317,0
588,Refi,1.318,0
588,Refi,1.258,0
588,Refi,1.262,0
588,Refi,1.279,0
588,Refi,1.114,0
588,Refi,1.162,0
588,Refi,1.167,0
589,Purchase,1.310,0
589,Purchase,1.223,0
589,Refi,1.028,0
589,Refi,1.353,0.15
589,Purchase,1.444,0
589,Refi,0.963,0
589,Refi,0.999,0
589,Purchase,1.013,0
589,Purchase,1.228,0
589,Refi,1.434,0
589,Refi,1.086,0.11
589,Refi,1.094,0
589,Refi,1.337,0
589,Refi,1.296,0
589,Refi,1.297,0
589,Refi,1.142,0
589,Refi,1.159,0.06
590,Purchase,0.981,0
590,Purchase,1.044,0.13
590,Purchase,1.173,0
590,Refi,1.285,0.08
590,Refi,1.157,0
590,Purchase,1.392,0
590,Purchase,1.243,0
590,Refi,1.072,0
590,Refi,1.110,0
590,Refi,1.022,0
590,Refi,1.035,0
590,Refi,1.322,0
590,Refi,1.357,0.15
590,Refi,1.40157,0
590,Refi,1.216,0
590,Refi,1.161,0
590,Refi,1.168,0
590,Refi,1.184,0
591,Refi,0.683,0
591,Purchase,1.449,0
591,Purchase,1.550,0
591,Refi,1.40393,0
591,Refi,1.263,0.09
591,Refi,1.431,0
591,Refi,1.062,0
591,Refi,1.108,0
591,Refi,1.180,0
591,Refi,1.354,0
591,Refi,1.358,0
591,Refi,1.370,0
591,Refi,1.40699,0
591,Refi,1.210,0
591,Refi,1.302,0
592,Refi,1.40390,0
592,Purchase,1.068,0
592,Refi,1.434,0
592,Refi,1.088,0
592,Refi,1.323,0.06
592,Refi,1.327,0
592,Refi,1.330,0.06
592,Refi,1.384,0
592,Refi,1.394,0
592,Refi,1.239,0
592,Refi,1.243,0
592,Refi,1.289,0
592,Refi,1.309,0
593,Refi,0.617,0
593,Purchase,1.330,0
593,Purchase,1.340,0.5
593,Refi,0.941,0.29
593,Purchase,1.106,0
593,Purchase,1.171,0
593,Refi,1.169,0
593,Refi,1.394,0
593,Refi,1.270,0
593,Refi,1.513,0.5
593,Purchase,1.245,0
593,Purchase,0.996,0
593,Purchase,1.090,0.22
593,Refi,1.418,0
593,Refi,1.433,0
593,Refi,1.134,0
593,Refi,1.203,0
593,Refi,1.318,0
593,Refi,1.349,0
593,Refi,1.352,0
593,Refi,1.218,0
593,Refi,1.242,0
593,Refi,1.242,0
593,Refi,1.248,0.09
593,Refi,1.283,0
593,Refi,1.298,0
594,Purchase,0.903,0
594,Purchase,1.422,0
594,Refi,1.210,0
594,Refi,0.969,0
594,Purchase,1.028,0
594,Purchase,1.157,0
594,Purchase,1.197,0
594,Refi,1.045,0.07
594,Refi,1.067,0
594,Refi,1.070,0
594,Refi,1.126,0
594,Refi,1.184,0
594,Refi,1.199,0
594,Refi,1.338,0
594,Refi,1.341,0
594,Refi,1.350,0
594,Refi,1.350,0
594,Refi,1.360,0
594,Refi,1.400,0
594,Refi,1.40909,0
594,Refi,1.217,0
594,Refi,1.231,0
594,Refi,1.250,0
594,Refi,1.274,0
594,Refi,1.274,0
594,Refi,1.275,0
594,Refi,1.280,0
594,Refi,1.288,0
595,Purchase,0.524,0
595,Purchase,0.864,0
595,Purchase,0.767,0
595,Purchase,0.864,0
595,Refi,1.021,0
595,Refi,1.130,0
595,Refi,1.208,0
595,Refi,1.40473,0
595,Refi,1.267,0
595,Purchase,0.999,0.13
595,Purchase,1.131,0
595,Purchase,1.143,0
595,Refi,1.320,0
595,Refi,1.398,0
595,Refi,1.213,0
595,Refi,1.262,0
595,Refi,1.278,0
595,Refi,1.284,0.09
596,Purchase,0.516,0
596,Refi,0.863,0
596,Refi,0.889,0
596,Refi,0.892,0
596,Refi,1.520,0
596,Refi,1.550,0
596,Refi,0.999,0
596,Refi,1.025,0
596,Refi,1.107,0
596,Refi,1.108,0
596,Refi,1.133,0
596,Refi,1.137,0
596,Refi,1.325,0
596,Refi,1.390,0
596,Refi,1.215,0
596,Refi,1.223,0
596,Refi,1.255,0
596,Refi,1.273,0
597,Refi,0.933,0
597,Purchase,1.278,0
597,Purchase,1.281,0
597,Purchase,1.023,0
597,Purchase,1.048,0
597,Refi,1.073,0
597,Refi,1.138,0
597,Refi,1.550,0.5
597,Purchase,1.238,0
597,Purchase,1.305,0
597,Purchase,0.919,0
597,Purchase,0.940,0
597,Refi,1.434,0
597,Purchase,1.115,0
597,Purchase,1.180,0
597,Refi,1.013,0
597,Refi,1.022,0
597,Refi,1.145,0
597,Refi,1.153,0
597,Refi,1.176,0
597,Refi,1.189,0
597,Refi,1.196,0
597,Refi,1.318,0
597,Refi,1.358,0
597,Refi,1.378,0
597,Refi,1.233,0
598,Refi,0.800,0
598,Refi,0.961,0.29
598,Refi,1.126,0
598,Refi,1.229,0.09
598,Refi,0.953,0
598,Purchase,1.214,0.14
598,Purchase,1.220,0
598,Purchase,0.971,0
598,Purchase,1.025,0
598,Purchase,1.102,0
598,Purchase,1.168,0
598,Refi,1.142,0
598,Refi,1.143,0
598,Refi,1.200,0
598,Refi,1.295,0
599,Refi,0.743,0
599,Refi,1.412,0
599,Refi,1.448,0.18
599,Refi,0.915,0
599,Purchase,0.928,0
599,Purchase,0.954,0
599,Purchase,1.088,0.22
599,Refi,1.463,0
599,Refi,1.030,0
599,Refi,1.092,0
599,Refi,1.114,0
599,Refi,1.148,0
599,Refi,1.149,0
599,Refi,1.158,0
599,Refi,1.173,0
599,Refi,1.184,0
599,Refi,1.340,0
599,Refi,1.340,0
599,Refi,1.354,0
599,Refi,1.394,0
599,Refi,1.224,0
599,Refi,1.227,0
599,Refi,1.247,0
599,Refi,1.267,0
599,Refi,1.282,0
599,Refi,1.291,0
599,Refi,1.307,0
600,Purchase,1.514,0
600,Purchase,1.509,0
600,Purchase,1.124,0
600,Purchase,1.165,0
600,Purchase,0.979,0
600,Refi,1.428,0.18
600,Refi,1.462,0
600,Refi,1.471,0
600,Purchase,1.198,0
600,Refi,1.151,0
600,Refi,1.185,0
600,Refi,1.332,0
600,Refi,1.354,0
600,Refi,1.231,0
600,Refi,1.238,0
600,Refi,1.259,0
601,Refi,1.655,0
601,Purchase,0.867,0
601,Refi,1.479,0
601,Purchase,1.099,0
601,Purchase,1.105,0.09
601,Purchase,1.266,0
601,Refi,1.415,0
601,Refi,0.986,0
601,Refi,0.999,0
601,Refi,1.033,0
601,Refi,1.042,0
601,Refi,1.064,0
601,Refi,1.068,0.04
601,Refi,1.091,0
601,Refi,1.283,0
601,Refi,1.338,0
601,Refi,1.374,0
601,Refi,1.375,0
602,Refi,0.847,0
602,Refi,1.444,0
602,Purchase,1.153,0
602,Refi,1.160,0
602,Refi,1.354,0
602,Refi,1.373,0
602,Refi,1.40145,0
602,Refi,1.428,0
602,Refi,1.440,0.1
602,Refi,1.494,0
602,Refi,0.991,0
602,Purchase,1.168,0
602,Refi,1.012,0
602,Refi,1.255,0
602,Refi,1.293,0
602,Refi,1.303,0
602,Refi,1.111,0
602,Refi,1.125,0
602,Refi,1.138,0
602,Refi,1.145,0
602,Refi,1.195,0
602,Refi,1.196,0
602,Refi,1.207,0
602,Refi,1.368,0
603,Refi,1.259,0
603,Refi,1.332,0
603,Refi,1.40170,0
603,Purchase,1.214,0
603,Refi,1.417,0
603,Purchase,1.108,0
603,Purchase,1.135,0
603,Purchase,1.175,0.09
603,Refi,1.078,0
603,Refi,1.214,0
603,Refi,1.219,0
603,Refi,1.239,0
603,Refi,1.130,0
603,Refi,1.134,0
603,Refi,1.171,0.06
603,Refi,1.210,0
603,Refi,1.341,0
603,Refi,1.355,0.07
603,Refi,1.358,0
603,Refi,1.373,0
603,Refi,1.373,0
604,Refi,0.682,0
604,Purchase,1.437,0
604,Purchase,0.773,0
604,Purchase,1.258,0
604,Purchase,1.261,0
604,Refi,1.40133,0
604,Purchase,1.298,0
604,Refi,0.970,0
604,Refi,1.257,0.1
604,Refi,1.298,0
604,Refi,1.195,0
604,Refi,1.210,0.03
604,Refi,1.344,0
605,Purchase,1.462,0
605,Refi,1.025,0
605,Refi,1.122,0
605,Refi,1.334,0
605,Refi,1.432,0
605,Refi,0.936,0
605,Refi,0.994,0.18
605,Purchase,1.032,0
605,Purchase,1.119,0
605,Purchase,1.127,0
605,Refi,1.036,0
605,Refi,1.039,0
605,Refi,1.060,0
605,Refi,1.060,0
605,Refi,1.061,0
605,Refi,1.067,0
605,Refi,1.301,0
605,Refi,1.305,0
605,Refi,1.129,0
605,Refi,1.166,0
605,Refi,1.173,0
605,Refi,1.174,0
605,Refi,1.315,0.07
605,Refi,1.319,0.07
605,Refi,1.323,0
605,Refi,1.398,0
606,Refi,0.710,0
606,Refi,1.519,0
606,Refi,1.544,0
606,Refi,1.130,0
606,Refi,1.439,0
606,Refi,0.990,0.18
606,Purchase,1.021,0
606,Purchase,1.060,0
606,Purchase,1.067,0
606,Refi,1.054,0
606,Refi,1.078,0
606,Refi,1.105,0
606,Refi,1.234,0
606,Refi,1.250,0
606,Refi,1.253,0
606,Refi,1.318,0
606,Refi,1.329,0
606,Refi,1.400,0
607,Purchase,0.666,0
607,Refi,1.511,0
607,Purchase,1.415,0
607,Refi,1.237,0
607,Purchase,1.211,0
607,Refi,0.915,0
607,Refi,0.954,0
607,Refi,1.076,0
607,Refi,1.085,0
607,Refi,1.091,0
607,Refi,1.091,0
607,Refi,1.100,0
607,Refi,1.228,0
607,Refi,1.144,0
607,Refi,1.192,0
607,Refi,1.348,0
607,Refi,1.350,0
607,Refi,1.359,0
607,Refi,1.365,0
607,Refi,1.366,0
607,Refi,1.40354,0
608,Refi,0.750,0
608,Purchase,0.968,0
608,Purchase,1.197,0
608,Purchase,1.202,0
608,Purchase,0.931,0
608,Refi,1.444,0
608,Purchase,1.095,0
608,Purchase,1.155,0
608,Purchase,1.201,0
608,Refi,1.037,0
608,Refi,1.069,0
608,Refi,1.214,0
608,Refi,1.261,0
608,Refi,1.292,0
608,Refi,1.294,0
608,Refi,1.296,0
608,Refi,1.111,0
608,Refi,1.136,0
608,Refi,1.194,0
608,Refi,1.198,0
608,Refi,1.318,0
608,Refi,1.322,0
608,Refi,1.332,0
608,Refi,1.334,0
608,Refi,1.372,0
609,Purchase,1.393,0
609,Refi,0.809,0
609,Refi,1.600,0
609,Purchase,0.947,0
609,Purchase,1.088,0
609,Refi,1.267,0
609,Refi,1.289,0.1
609,Refi,1.309,0.1
609,Refi,1.386,0
609,Purchase,0.957,0
609,Refi,0.968,0
609,Purchase,1.081,0
609,Refi,1.109,0
609,Refi,1.011,0
609,Refi,1.244,0
609,Refi,1.251,0
609,Refi,1.275,0
609,Refi,1.284,0
609,Refi,1.123,0
609,Refi,1.156,0
609,Refi,1.189,0
609,Refi,1.334,0
609,Refi,1.348,0
609,Refi,1.352,0
609,Refi,1.376,0
609,Refi,1.398,0
609,Refi,1.398,0
610,Purchase,0.610,0
610,Purchase,0.691,0
610,Purchase,1.492,0
610,Refi,0.864,0
610,Purchase,0.952,0
610,Refi,1.282,0
610,Refi,1.180,0
610,Refi,0.947,0
610,Purchase,1.036,0
610,Purchase,1.179,0
610,Refi,1.024,0
610,Refi,1.279,0
610,Refi,1.121,0
610,Refi,1.147,0
610,Refi,1.40332,0
611,Purchase,1.134,0.1
611,Purchase,1.216,0
611,Refi,0.942,0
611,Refi,1.423,0.24
611,Refi,1.145,0
611,Refi,0.852,0
611,Purchase,1.386,0
611,Purchase,1.127,0
611,Purchase,1.242,0
611,Refi,1.065,0.14
611,Refi,1.101,0
611,Refi,1.000,0
611,Refi,1.50707,0.24
611,Purchase,1.052,0
611,Refi,1.130,0
611,Refi,1.144,0
611,Refi,1.192,0
611,Refi,1.204,0
611,Refi,1.315,0
611,Refi,1.330,0.14
611,Refi,1.352,0
611,Refi,1.368,0
611,Refi,1.400,0
612,Purchase,0.640,0
612,Purchase,1.429,0
612,Refi,0.641,0
612,Refi,1.454,0
612,Refi,1.485,0
612,Purchase,1.015,0
612,Purchase,1.057,0
612,Refi,1.307,0
612,Refi,1.335,0
612,Purchase,1.001,0
612,Purchase,1.006,0
612,Purchase,1.382,0
612,Purchase,1.117,0
612,Purchase,1.134,0
612,Purchase,1.173,0
612,Refi,1.008,0
612,Refi,1.043,0
612,Refi,1.057,0
612,Refi,1.089,0
612,Refi,1.432,0
612,Refi,1.436,0
612,Refi,1.443,0
612,Refi,1.490,0
612,Purchase,1.065,0
612,Refi,1.127,0
612,Refi,1.128,0
612,Refi,1.156,0
612,Refi,1.201,0
612,Refi,1.234,0
612,Refi,1.298,0
612,Refi,1.327,0
612,Refi,1.366,0
612,Refi,1.371,0
612,Refi,1.373,0
612,Refi,1.384,0
613,Refi,0.474,1
613,Purchase,1.286,0.1
613,Refi,1.367,0.14
613,Purchase,1.344,0
613,Purchase,1.344,0
613,Purchase,1.143,0
613,Refi,0.913,0
613,Refi,1.116,0.03
613,Refi,1.153,0
613,Refi,1.190,0
613,Refi,1.283,0
613,Refi,1.335,0
613,Refi,1.379,0
613,Refi,1.40052,0
614,Purchase,0.784,0
614,Refi,1.572,0
614,Purchase,1.386,0
614,Purchase,1.142,0
614,Refi,0.909,0
614,Purchase,0.952,0
614,Purchase,0.907,0
614,Refi,1.050,0
614,Refi,0.964,0
614,Refi,1.418,0
614,Purchase,1.042,0.21
614,Purchase,1.084,0
614,Purchase,1.098,0
614,Refi,1.156,0
614,Refi,1.168,0
614,Refi,1.174,0
614,Refi,1.233,0
614,Refi,1.252,0
614,Refi,1.290,0
614,Refi,1.293,0
614,Refi,1.319,0
614,Refi,1.321,0
614,Refi,1.323,0
614,Refi,1.343,0.14
614,Refi,1.374,0
615,Purchase,1.411,0
615,Purchase,1.062,0.21
615,Refi,1.165,0
615,Refi,0.854,0
615,Refi,0.900,0
615,Purchase,0.848,0
615,Purchase,1.126,0
615,Refi,0.949,0
615,Refi,1.419,0
615,Refi,1.439,0.24
615,Refi,1.126,0
615,Refi,1.153,0
615,Refi,1.197,0
615,Refi,1.223,0
615,Refi,1.244,0
615,Refi,1.278,0
615,Refi,1.288,0
615,Refi,1.305,0
615,Refi,1.341,0
615,Refi,1.369,0
615,Refi,1.396,0
615,Refi,1.397,0
616,Refi,1.749,0
616,Purchase,0.905,0
616,Purchase,1.355,0
616,Purchase,1.161,0
616,Refi,1.288,0
616,Purchase,1.157,0
616,Purchase,1.245,0
616,Refi,1.058,0.14
616,Refi,0.954,0
616,Refi,1.421,0
616,Purchase,1.066,0
616,Purchase,1.088,0
616,Refi,1.145,0
616,Refi,1.176,0
616,Refi,1.185,0
616,Refi,1.217,0
616,Refi,1.276,0
616,Refi,1.297,0
616,Refi,1.360,0
616,Refi,1.374,0
616,Refi,1.390,0
617,Refi,0.717,0
617,Purchase,0.740,0
617,Purchase,0.763,0
617,Refi,0.652,0
617,Refi,0.665,0
617,Refi,0.678,0
617,Purchase,1.090,0
617,Refi,1.201,0
617,Refi,1.234,0
617,Refi,1.295,0
617,Refi,0.897,0
617,Purchase,0.965,0
617,Purchase,0.849,0
617,Refi,0.912,0
617,Refi,0.929,0
617,Refi,1.411,0
617,Refi,1.422,0.24
617,Refi,1.424,0
617,Purchase,1.011,0.21
617,Purchase,1.012,0
617,Purchase,1.082,0.21
617,Purchase,1.094,0
617,Refi,1.114,0
617,Refi,1.173,0
617,Refi,1.249,0
617,Refi,1.270,0
617,Refi,1.290,0
617,Refi,1.305,0
617,Refi,1.321,0
617,Refi,1.40309,0.14
617,Refi,1.40874,0
618,Purchase,0.651,0
618,Purchase,0.801,0
618,Purchase,1.242,0
618,Refi,1.049,0
618,Refi,1.380,0.14
618,Purchase,0.844,0
618,Purchase,0.880,0
618,Purchase,1.397,0.13
618,Purchase,1.275,0
618,Purchase,1.291,0
618,Refi,0.963,0
618,Refi,0.980,0
618,Refi,1.466,0
618,Purchase,1.043,0
618,Refi,1.122,0
618,Refi,1.164,0
618,Refi,1.237,0
