Credit Score,Finance Type,LTV,Binded GAP
615,Purchase,1.411,0
615,Purchase,1.062,0.63
615,Refi,1.165,0.81
615,Refi,0.854,0.67
615,Refi,0.900,0.67
615,Purchase,0.848,0.71
615,Purchase,1.126,0
615,Refi,0.949,0.8
615,Refi,1.419,0.71
615,Refi,1.439,0.71
615,Refi,1.126,0.81
615,Refi,1.153,0.81
615,Refi,1.197,0.81
615,Refi,1.223,0.75
615,Refi,1.244,0
615,Refi,1.278,0.75
615,Refi,1.288,0.75
615,Refi,1.305,0
615,Refi,1.341,0
615,Refi,1.369,0.75
615,Refi,1.396,0.75
615,Refi,1.397,0
616,Refi,1.749,1
616,Purchase,0.905,0.71
616,Purchase,1.355,0
616,Purchase,1.161,0.8
616,Refi,1.288,0.75
616,Purchase,1.157,0.8
616,Purchase,1.245,0.6
616,Refi,1.058,0.64
616,Refi,0.954,0.8
616,Refi,1.421,0.71
616,Purchase,1.066,0.63
616,Purchase,1.088,0
616,Refi,1.145,0.81
616,Refi,1.176,0
616,Refi,1.185,0
616,Refi,1.217,0.75
616,Refi,1.276,0.75
616,Refi,1.297,0.75
616,Refi,1.360,0.75
616,Refi,1.374,0.75
616,Refi,1.390,0.75
617,Refi,0.717,1
617,Purchase,0.740,1
617,Purchase,0.763,1
617,Refi,0.652,0.75
617,Refi,0.665,0.75
617,Refi,0.678,0
617,Purchase,1.090,0
617,Refi,1.201,0
617,Refi,1.234,0
617,Refi,1.295,0.75
617,Refi,0.897,0
617,Purchase,0.965,0.33
617,Purchase,0.849,0.71
617,Refi,0.912,0.8
617,Refi,0.929,0.8
617,Refi,1.411,0
617,Refi,1.422,0
617,Refi,1.424,0.71
617,Purchase,1.011,0
617,Purchase,1.012,0
617,Purchase,1.082,0.63
617,Purchase,1.094,0.63
617,Refi,1.114,0.81
617,Refi,1.173,0.81
617,Refi,1.249,0
617,Refi,1.270,0.75
617,Refi,1.290,0.75
617,Refi,1.305,0.75
617,Refi,1.321,0
617,Refi,1.40309,0
617,Refi,1.40874,0
618,Purchase,0.651,1
618,Purchase,0.801,1
618,Purchase,1.242,0.6
618,Refi,1.049,0
618,Refi,1.380,0.75
618,Purchase,0.844,0
618,Purchase,0.880,0.71
618,Purchase,1.397,0.63
618,Purchase,1.275,0.6
618,Purchase,1.291,0
618,Refi,0.963,0.8
618,Refi,0.980,0.8
618,Refi,1.466,0
618,Purchase,1.043,0.63
618,Refi,1.122,0.81
618,Refi,1.164,0.81
618,Refi,1.237,0
618,Refi,1.242,0
618,Refi,1.264,0.75
618,Refi,1.267,0.75
618,Refi,1.276,0.75
618,Refi,1.280,0.75
618,Refi,1.321,0.75
618,Refi,1.352,0.75
618,Refi,1.392,0
619,Purchase,0.362,1
619,Purchase,0.498,0
619,Refi,1.513,0.6
619,Refi,1.593,0.6
619,Refi,0.970,0.8
619,Purchase,1.108,0.63
619,Refi,1.347,0
619,Refi,0.870,0.67
619,Purchase,0.936,0
619,Refi,1.024,0.64
619,Refi,1.030,0.64
619,Refi,1.047,0.64
619,Refi,0.912,0
619,Purchase,1.040,0
619,Purchase,1.076,0.63
619,Refi,1.076,0.64
619,Refi,1.134,0.81
619,Refi,1.156,0
619,Refi,1.194,0.81
619,Refi,1.304,0
620,Refi,0.593,1
620,Refi,1.530,0
620,Refi,1.534,0
620,Refi,1.106,0
620,Purchase,0.973,0
620,Purchase,0.860,0
620,Purchase,1.371,0.63
620,Purchase,1.229,0.6
620,Purchase,1.247,0.6
620,Purchase,1.269,0
620,Refi,0.964,0.8
620,Refi,0.980,0
620,Refi,1.497,0.71
620,Refi,1.093,0.64
620,Refi,1.138,0.81
620,Refi,1.175,0.81
620,Refi,1.243,0.75
620,Refi,1.262,0.75
620,Refi,1.268,0.75
620,Refi,1.273,0.75
620,Refi,1.275,0.75
620,Refi,1.286,0.75
620,Refi,1.313,0.75
621,Refi,0.857,1
621,Refi,0.892,1
621,Purchase,1.409,0
621,Refi,1.296,0.87
621,Purchase,1.351,0.8
621,Purchase,1.275,0.73
621,Refi,1.045,0.75
621,Refi,1.058,0
621,Refi,1.453,0.44
621,Refi,1.481,0
621,Refi,1.486,0.44
621,Refi,1.123,0.76
621,Refi,1.146,0.76
621,Refi,1.174,0.76
621,Refi,1.178,0.76
621,Refi,1.187,0.76
621,Refi,1.196,0.76
621,Refi,1.207,0
621,Refi,1.224,0.87
621,Refi,1.259,0
621,Refi,1.291,0.87
621,Refi,1.312,0.76
621,Refi,1.334,0.76
621,Refi,1.40611,0.76
622,Refi,1.520,0
622,Purchase,1.069,0.7
622,Purchase,1.304,0
622,Purchase,1.050,0
622,Purchase,1.116,0.83
622,Purchase,1.188,0
622,Refi,1.019,0.75
622,Refi,1.022,0.75
622,Refi,1.022,0.75
622,Refi,1.046,0.75
622,Refi,1.070,0.75
622,Refi,1.092,0.75
622,Refi,1.100,0.75
622,Refi,1.441,0
622,Refi,1.445,0.44
622,Refi,1.450,0.44
622,Refi,1.470,0.44
622,Refi,1.485,0
622,Refi,1.147,0
622,Refi,1.201,0.76
622,Refi,1.213,0.87
622,Refi,1.239,0.87
622,Refi,1.276,0.87
622,Refi,1.278,0.87
622,Refi,1.294,0.87
622,Refi,1.311,0.76
622,Refi,1.333,0
622,Refi,1.347,0.76
622,Refi,1.40294,0.76
622,Refi,1.40781,0.76
623,Purchase,0.587,0
623,Purchase,0.738,1
623,Purchase,0.821,0
623,Refi,0.830,1
623,Refi,0.879,1
623,Purchase,0.812,0.6
623,Purchase,1.318,0.8
623,Refi,1.439,0.44
623,Purchase,1.094,0.7
623,Purchase,1.346,0.8
623,Purchase,1.361,0
623,Purchase,1.157,0.83
623,Purchase,1.245,0.73
623,Refi,1.060,0
623,Refi,1.430,0
623,Refi,1.444,0.44
623,Refi,1.233,0.87
623,Refi,1.305,0.87
623,Refi,1.357,0.76
623,Refi,1.381,0
623,Refi,1.399,0.76
623,Refi,1.40945,0
624,Refi,0.465,0
624,Purchase,0.916,1
624,Purchase,1.036,0.7
624,Refi,1.460,0.44
624,Refi,1.227,0.87
624,Refi,1.291,0.87
624,Refi,0.958,0.8
624,Purchase,1.366,0.8
624,Purchase,1.367,0.8
624,Purchase,1.173,0.83
624,Purchase,1.185,0.83
624,Purchase,1.251,0.73
624,Refi,1.034,0
624,Refi,1.063,0.75
624,Refi,1.428,0
624,Refi,1.131,0.76
624,Refi,1.176,0.76
624,Refi,1.228,0.87
624,Refi,1.325,0.76
624,Refi,1.332,0.76
624,Refi,1.345,0.76
624,Refi,1.386,0
624,Refi,1.40627,0.76
625,Refi,0.491,0
625,Purchase,0.881,0.6
625,Purchase,0.898,0.6
625,Purchase,1.197,0.83
625,Purchase,1.252,0.73
625,Refi,1.104,0.75
625,Refi,0.929,1
625,Refi,0.993,1
625,Purchase,1.350,0.8
625,Purchase,1.366,0.8
625,Purchase,1.130,0.83
625,Purchase,1.145,0.83
625,Purchase,1.237,0
625,Purchase,1.241,0.73
625,Purchase,1.258,0.73
625,Purchase,1.262,0.73
625,Refi,1.048,0
625,Refi,1.049,0.75
625,Refi,1.416,0
625,Refi,1.440,0
625,Refi,1.496,0.44
625,Refi,1.137,0
625,Refi,1.149,0
625,Refi,1.160,0.76
625,Refi,1.167,0.76
625,Refi,1.191,0
625,Refi,1.193,0
625,Refi,1.225,0.87
625,Refi,1.228,0.87
625,Refi,1.231,0.87
625,Refi,1.262,0
625,Refi,1.274,0.87
625,Refi,1.282,0.87
625,Refi,1.286,0
625,Refi,1.301,0.87
625,Refi,1.322,0.76
625,Refi,1.324,0.76
625,Refi,1.383,0.76
625,Refi,1.400,0
626,Purchase,1.568,1
626,Purchase,1.410,1
626,Refi,0.905,1
626,Purchase,1.132,0.83
626,Purchase,1.154,0.83
626,Purchase,1.231,0
626,Refi,1.112,0.76
626,Refi,1.170,0.76
626,Refi,1.280,0.87
626,Refi,1.353,0.76
626,Refi,0.986,1
626,Purchase,1.080,0
626,Purchase,1.260,0.73
626,Purchase,1.307,0
626,Refi,1.50396,0
626,Refi,1.132,0.76
626,Refi,1.136,0.76
626,Refi,1.220,0
626,Refi,1.258,0.87
626,Refi,1.272,0.87
626,Refi,1.326,0.76
626,Refi,1.350,0.76
626,Refi,1.358,0.76
626,Refi,1.400,0.76
627,Refi,0.718,0.5
627,Purchase,0.734,1
627,Refi,1.444,0
627,Refi,1.165,0.76
627,Refi,1.399,0
627,Refi,0.986,1
627,Purchase,1.019,0.7
627,Purchase,1.024,0.7
627,Purchase,1.176,0.83
627,Purchase,1.237,0.73
627,Purchase,1.252,0.73
627,Refi,1.014,0.75
627,Refi,1.410,0
627,Refi,1.424,0.44
627,Refi,1.458,0
627,Refi,1.117,0.76
627,Refi,1.149,0.76
627,Refi,1.190,0.76
627,Refi,1.247,0.87
627,Refi,1.255,0.87
627,Refi,1.265,0.87
627,Refi,1.277,0.87
627,Refi,1.345,0.76
627,Refi,1.349,0.76
627,Refi,1.379,0.76
628,Purchase,0.468,1
628,Purchase,0.951,1
628,Purchase,0.990,1
628,Refi,0.978,1
628,Refi,0.992,1
628,Purchase,1.226,0.73
628,Refi,1.060,0.75
628,Refi,1.424,0
628,Refi,1.218,0.87
628,Refi,1.244,0.87
628,Refi,1.264,0.87
628,Refi,1.291,0.87
628,Refi,1.320,0
628,Refi,1.321,0.76
628,Refi,1.330,0
628,Refi,1.348,0.76
628,Refi,1.351,0.76
628,Refi,1.359,0.76
628,Refi,1.385,0
629,Refi,0.770,0
629,Purchase,0.898,0
629,Refi,1.461,0
629,Refi,1.287,0.87
629,Refi,1.383,0.76
629,Refi,0.948,1
629,Refi,0.992,1
629,Refi,1.071,0.75
629,Refi,1.103,0.75
629,Purchase,1.130,0
629,Refi,1.414,0.44
629,Refi,1.418,0
629,Refi,1.425,0.44
629,Refi,1.126,0
629,Refi,1.166,0.76
629,Refi,1.189,0.76
629,Refi,1.237,0.87
629,Refi,1.369,0
629,Refi,1.40152,0.76
629,Refi,1.40921,0
630,Purchase,0.703,1
630,Purchase,0.726,1
630,Purchase,1.338,0.8
630,Refi,1.374,0.76
630,Refi,1.101,0
630,Purchase,1.015,0.7
630,Purchase,1.092,0
630,Purchase,1.105,0.7
630,Refi,1.446,0
630,Refi,1.155,0.76
630,Refi,1.213,0
630,Refi,1.248,0.87
630,Refi,1.281,0.87
630,Refi,1.321,0.76
630,Refi,1.335,0.76
630,Refi,1.341,0.76
630,Refi,1.343,0.76
630,Refi,1.361,0.76
630,Refi,1.366,0.76
630,Refi,1.399,0
631,Purchase,1.595,0
631,Purchase,1.450,0.33
631,Refi,0.889,0.8
631,Refi,0.960,1
631,Refi,1.257,0
631,Refi,0.998,0.7
631,Refi,1.056,0
631,Refi,1.087,0.7
631,Purchase,0.958,0.54
631,Purchase,0.963,0.54
631,Purchase,1.150,0.62
631,Refi,1.470,0
631,Refi,1.122,0.87
631,Refi,1.146,0
631,Refi,1.190,0.87
631,Refi,1.206,0.87
631,Refi,1.320,0.74
631,Refi,1.347,0.74
631,Refi,1.365,0.74
631,Refi,1.371,0
631,Refi,1.394,0.74
631,Refi,1.40918,0.74
631,Refi,1.223,0.73
631,Refi,1.225,0
631,Refi,1.246,0.73
632,Refi,1.524,1
632,Purchase,0.890,0
632,Purchase,0.513,0.67
632,Purchase,0.554,0.67
632,Refi,0.881,0
632,Refi,0.997,0
632,Refi,1.095,0.7
632,Purchase,1.050,0.4
632,Purchase,1.107,0
632,Refi,1.370,0.74
632,Refi,1.294,0.73
632,Refi,0.911,0
632,Purchase,0.980,0
632,Purchase,1.207,0.62
632,Refi,1.438,0.67
632,Refi,1.153,0
632,Refi,1.163,0.87
632,Refi,1.178,0.87
632,Refi,1.179,0.87
632,Refi,1.180,0.87
632,Refi,1.312,0.74
632,Refi,1.385,0
632,Refi,1.243,0
632,Refi,1.252,0.73
632,Refi,1.272,0
633,Purchase,0.458,1
633,Purchase,0.797,1
633,Refi,0.903,0.8
633,Purchase,1.336,0.83
633,Purchase,1.047,0.4
633,Refi,1.322,0.74
633,Refi,1.232,0.73
633,Purchase,1.221,0
633,Purchase,1.300,0
633,Purchase,1.080,0
633,Refi,1.483,0.67
633,Refi,1.180,0.87
633,Refi,1.185,0.87
633,Refi,1.190,0.87
633,Refi,1.321,0
633,Refi,1.395,0.74
633,Refi,1.246,0.73
633,Refi,1.264,0.73
633,Refi,1.273,0.73
633,Refi,1.286,0.73
633,Refi,1.306,0
634,Purchase,0.489,1
634,Purchase,1.399,0.83
634,Purchase,1.238,0
634,Purchase,1.154,0.62
634,Refi,1.418,0.67
634,Purchase,1.275,0
634,Purchase,1.203,0.62
634,Refi,1.467,0.67
634,Refi,1.140,0
634,Refi,1.167,0.87
634,Refi,1.312,0.74
634,Refi,1.367,0.74
634,Refi,1.392,0.74
634,Refi,1.264,0.73
634,Refi,1.309,0.73
635,Purchase,1.427,0
635,Refi,1.075,0.7
635,Purchase,0.978,0
635,Purchase,1.009,0.54
635,Purchase,1.045,0.4
635,Refi,1.451,0
635,Refi,1.165,0.87
635,Refi,0.963,0.7
635,Refi,0.976,0.7
635,Refi,0.986,0.7
635,Refi,1.061,0.7
635,Purchase,1.253,0
635,Purchase,1.254,0
635,Purchase,1.134,0
635,Purchase,1.173,0.62
635,Purchase,1.042,0.4
635,Purchase,1.102,0
635,Refi,1.447,0.67
635,Refi,1.130,0.87
635,Refi,1.166,0.87
635,Refi,1.310,0
635,Refi,1.333,0.74
635,Refi,1.347,0
635,Refi,1.40919,0
635,Refi,1.268,0.73
635,Refi,1.271,0.73
635,Refi,1.303,0.73
636,Purchase,1.498,0
636,Purchase,0.565,0
636,Purchase,1.199,0
636,Refi,1.278,0.73
636,Refi,0.961,0
636,Refi,1.035,0.7
636,Refi,1.109,0.7
636,Purchase,0.913,0
636,Purchase,1.051,0
636,Purchase,1.103,0.4
636,Refi,1.411,0.67
636,Refi,1.446,0.67
636,Refi,1.150,0.87
636,Refi,1.169,0.87
636,Refi,1.195,0.87
636,Refi,1.321,0.74
636,Refi,1.333,0.74
636,Refi,1.355,0
636,Refi,1.40886,0.74
636,Refi,1.290,0.73
637,Purchase,0.746,1
637,Purchase,1.246,0.36
637,Purchase,1.132,0.62
637,Purchase,0.972,0
637,Purchase,1.078,0
637,Refi,1.456,0
637,Refi,1.457,0.67
637,Refi,1.115,0.87
637,Refi,1.115,0.87
637,Refi,1.152,0
637,Refi,1.179,0.87
637,Refi,1.197,0.87
637,Refi,1.343,0.74
637,Refi,1.389,0.74
637,Refi,1.396,0
637,Refi,1.220,0.73
637,Refi,1.265,0.73
638,Purchase,0.825,0.5
638,Purchase,1.340,0
638,Purchase,1.389,0.83
638,Purchase,0.947,0.54
638,Refi,1.467,0.67
638,Refi,1.335,0.74
638,Refi,1.271,0
638,Refi,1.271,0.73
638,Purchase,1.232,0.36
638,Purchase,1.198,0
638,Purchase,1.063,0
638,Refi,1.011,0
638,Refi,1.107,0
638,Refi,1.112,0.87
638,Refi,1.194,0.87
638,Refi,1.390,0.74
638,Refi,1.215,0
638,Refi,1.308,0.73
639,Refi,0.756,1
639,Purchase,1.515,0.5
639,Refi,0.867,0.8
639,Refi,0.888,0.8
639,Purchase,1.360,0.83
639,Purchase,1.260,0.36
639,Purchase,0.960,0
639,Refi,1.153,0.87
639,Refi,1.362,0.74
639,Purchase,1.255,0.36
639,Purchase,0.931,0.54
639,Purchase,0.998,0.54
639,Purchase,1.138,0
639,Purchase,1.210,0.62
639,Purchase,1.035,0
639,Purchase,1.085,0.4
639,Refi,1.411,0
639,Refi,1.486,0.67
639,Refi,1.040,0.7
639,Refi,1.343,0
639,Refi,1.343,0.74
639,Refi,1.352,0.74
639,Refi,1.376,0.74
639,Refi,1.400,0.74
639,Refi,1.224,0
639,Refi,1.224,0
639,Refi,1.254,0.73
639,Refi,1.265,0.73
639,Refi,1.266,0
639,Refi,1.268,0.73
639,Refi,1.307,0.73
640,Refi,1.765,0
640,Refi,1.574,1
640,Purchase,0.734,1
640,Purchase,0.799,1
640,Purchase,0.803,1
640,Purchase,1.360,0.83
640,Purchase,1.117,0
640,Purchase,1.088,0
640,Purchase,1.102,0
640,Refi,1.424,0.67
640,Refi,1.500,0
640,Refi,0.987,0.7
640,Refi,0.987,0.7
640,Purchase,1.224,0
640,Purchase,0.930,0
640,Purchase,0.988,0.54
640,Purchase,1.143,0.62
640,Refi,1.469,0.67
640,Refi,1.493,0
640,Refi,1.196,0.87
640,Refi,1.201,0.87
640,Refi,1.334,0
640,Refi,1.364,0.74
640,Refi,1.381,0.74
640,Refi,1.393,0.74
640,Refi,1.222,0
640,Refi,1.226,0.73
640,Refi,1.231,0.73
640,Refi,1.237,0.73
640,Refi,1.282,0.73
640,Refi,1.288,0.73
641,Refi,0.513,1
641,Refi,1.574,1
641,Purchase,1.395,0
641,Purchase,1.252,0.91
641,Refi,1.078,0.68
641,Refi,1.431,0.62
641,Refi,1.461,0.62
641,Refi,1.312,0.56
641,Purchase,1.200,0.5
641,Purchase,1.105,0
641,Refi,0.960,0
641,Refi,1.091,0.68
641,Refi,1.098,0.68
641,Refi,1.475,0
641,Refi,1.174,0.78
641,Refi,1.178,0.78
641,Refi,1.221,0
641,Refi,1.232,0
641,Refi,1.263,0.61
642,Purchase,0.824,1
642,Refi,0.824,0
642,Refi,0.830,0.8
642,Purchase,1.323,0
642,Purchase,1.324,0.67
642,Purchase,1.254,0.91
642,Purchase,1.193,0.5
642,Refi,0.999,0
642,Refi,1.055,0.68
642,Refi,1.220,0
642,Refi,1.260,0
642,Purchase,1.210,0.91
642,Purchase,1.211,0.91
642,Purchase,1.242,0.91
642,Purchase,1.022,0.27
642,Purchase,1.098,0.27
642,Refi,0.993,0
642,Refi,1.045,0
642,Refi,1.082,0.68
642,Refi,1.094,0.68
642,Refi,1.449,0.62
642,Refi,1.132,0.78
642,Refi,1.313,0
642,Refi,1.314,0
642,Refi,1.317,0.56
642,Refi,1.40365,0.56
642,Refi,1.239,0.61
642,Refi,1.247,0.61
643,Refi,0.688,1
643,Refi,1.590,1
643,Purchase,1.339,0.67
643,Refi,1.516,1
643,Purchase,1.292,0.91
643,Refi,1.326,0
643,Refi,1.260,0.61
643,Purchase,1.300,0.91
643,Purchase,1.076,0
643,Purchase,1.104,0
643,Refi,0.959,0.7
643,Refi,1.067,0.68
643,Refi,1.073,0
643,Refi,1.422,0.62
643,Refi,1.488,0
643,Refi,1.123,0.78
643,Refi,1.138,0
643,Refi,1.319,0.56
643,Refi,1.375,0
643,Refi,1.235,0
643,Refi,1.310,0.61
644,Purchase,1.464,1
644,Refi,0.870,0.8
644,Refi,0.875,0.8
644,Purchase,0.984,0
644,Purchase,1.005,0.62
644,Purchase,1.134,0
644,Refi,1.172,0.78
644,Refi,1.213,0
644,Purchase,0.926,0.62
644,Purchase,0.929,0.62
644,Purchase,1.141,0
644,Purchase,1.196,0.5
644,Purchase,1.044,0
644,Purchase,1.058,0.27
644,Purchase,1.064,0
644,Purchase,1.090,0.27
644,Purchase,1.091,0
644,Refi,0.976,0.67
644,Refi,1.430,0.62
644,Refi,1.431,0
644,Refi,1.464,0.62
644,Refi,1.117,0
644,Refi,1.161,0.78
644,Refi,1.181,0
644,Refi,1.316,0
644,Refi,1.328,0
644,Refi,1.336,0.56
644,Refi,1.361,0.56
644,Refi,1.381,0.56
644,Refi,1.397,0
644,Refi,1.240,0.61
644,Refi,1.271,0
644,Refi,1.271,0.61
644,Refi,1.290,0
644,Refi,1.293,0
644,Refi,1.309,0.61
645,Purchase,0.877,1
645,Refi,0.856,0.8
645,Refi,1.519,1
645,Purchase,1.350,0.67
645,Purchase,0.680,0
645,Purchase,1.140,0
645,Purchase,1.015,0
645,Purchase,1.019,0
645,Refi,0.987,0.67
645,Refi,1.098,0
645,Refi,1.104,0.68
645,Refi,1.478,0
645,Refi,1.495,0
645,Refi,1.129,0.78
645,Refi,1.165,0.78
645,Refi,1.318,0
645,Refi,1.329,0.56
645,Refi,1.344,0.56
645,Refi,1.351,0.56
645,Refi,1.356,0
645,Refi,1.387,0
645,Refi,1.253,0
646,Purchase,0.789,1
646,Purchase,0.825,1
646,Purchase,1.189,0.5
646,Refi,1.146,0
646,Refi,1.255,0
646,Purchase,0.912,0.62
646,Purchase,1.115,0
646,Purchase,1.190,0.5
646,Refi,0.944,0.67
646,Refi,0.968,0.67
646,Refi,1.008,0.67
646,Refi,1.048,0.68
646,Refi,1.104,0.68
646,Refi,1.420,0.62
646,Refi,1.447,0
646,Refi,1.364,0
646,Refi,1.389,0
646,Refi,1.40521,0.56
646,Refi,1.245,0
646,Refi,1.277,0.61
646,Refi,1.284,0.61
646,Refi,1.305,0.61
647,Purchase,1.376,0.67
647,Refi,0.999,0
647,Refi,1.003,0
647,Refi,1.490,0
647,Refi,1.146,0
647,Refi,1.268,0.61
647,Purchase,1.287,0.91
647,Purchase,0.930,0.62
647,Purchase,0.965,0.62
647,Purchase,1.137,0.5
647,Purchase,1.203,0
647,Refi,0.929,0.67
647,Refi,0.952,0.67
647,Refi,0.967,0
647,Refi,0.997,0.67
647,Refi,1.005,0.67
647,Refi,1.084,0
647,Refi,1.084,0
647,Refi,1.410,0.62
647,Refi,1.424,0.62
647,Refi,1.469,0.62
647,Refi,1.128,0.78
647,Refi,1.151,0.78
647,Refi,1.169,0.78
647,Refi,1.321,0.56
647,Refi,1.378,0.56
647,Refi,1.383,0.56
647,Refi,1.384,0.56
647,Refi,1.220,0.61
647,Refi,1.221,0
647,Refi,1.247,0.61
647,Refi,1.291,0.61
647,Refi,1.308,0.61
648,Purchase,1.237,0.91
648,Refi,1.143,0.78
648,Refi,1.387,0.56
648,Purchase,1.189,0
648,Purchase,1.108,0
648,Refi,0.972,0.67
648,Refi,0.975,0
648,Refi,0.991,0.67
648,Refi,1.033,0
648,Refi,1.038,0.68
648,Refi,1.041,0.68
648,Refi,1.117,0.78
648,Refi,1.155,0.78
648,Refi,1.172,0.78
648,Refi,1.183,0.78
648,Refi,1.399,0
648,Refi,1.228,0.61
648,Refi,1.231,0
648,Refi,1.244,0.61
648,Refi,1.247,0.61
648,Refi,1.252,0.61
649,Purchase,0.810,1
649,Refi,1.520,1
649,Refi,1.424,0
649,Refi,1.174,0.78
649,Refi,1.284,0
649,Purchase,0.920,0
649,Purchase,0.944,0.62
649,Purchase,0.992,0.62
649,Purchase,1.139,0.5
649,Purchase,1.071,0
649,Refi,0.977,0.67
649,Refi,1.008,0.67
649,Refi,1.450,0.62
649,Refi,1.453,0
649,Refi,1.459,0.62
649,Refi,1.459,0
649,Refi,1.465,0.62
649,Refi,1.111,0.78
649,Refi,1.176,0.78
649,Refi,1.206,0.78
649,Refi,1.374,0.56
649,Refi,1.241,0.61
649,Refi,1.244,0.61
649,Refi,1.248,0.61
649,Refi,1.256,0.61
649,Refi,1.282,0.61
650,Purchase,0.409,1
650,Purchase,0.720,1
650,Purchase,1.437,1
650,Refi,1.532,1
650,Purchase,1.212,0
650,Purchase,1.053,0
650,Refi,1.242,0
650,Refi,1.266,0
650,Purchase,1.247,0.91
650,Purchase,0.929,0
650,Purchase,0.947,0
650,Purchase,0.961,0
650,Purchase,1.180,0
650,Refi,1.081,0
650,Refi,1.081,0.68
650,Refi,1.093,0.68
650,Refi,1.031,0.68
650,Refi,1.471,0.62
650,Refi,1.474,0.62
650,Refi,1.50325,0.62
650,Refi,1.149,0.78
650,Refi,1.188,0
650,Refi,1.322,0
650,Refi,1.323,0.56
650,Refi,1.269,0.61
650,Refi,1.283,0
650,Refi,1.290,0.61
650,Refi,1.302,0.61
651,Refi,0.595,0
651,Refi,0.757,1
651,Refi,1.60410,0.5
651,Purchase,1.397,0.5
651,Purchase,1.411,1
651,Purchase,1.501,1
651,Purchase,0.978,0.57
651,Purchase,0.996,0
651,Purchase,1.009,0.57
651,Purchase,1.457,1
651,Purchase,1.078,0.69
651,Refi,1.483,0.66
651,Refi,1.216,0
651,Purchase,1.299,0
651,Purchase,1.301,0
651,Refi,0.821,0
651,Refi,0.832,0.78
651,Refi,0.914,0.82
651,Purchase,1.115,0
651,Refi,1.042,0
651,Refi,1.057,0
651,Refi,1.074,0.82
651,Refi,1.084,0.82
651,Refi,1.105,0.82
651,Refi,1.133,0.68
651,Refi,1.156,0.68
651,Refi,1.167,0.68
651,Refi,1.183,0.68
651,Refi,1.202,0.68
651,Refi,1.205,0
651,Refi,1.428,0.66
651,Refi,1.491,0.66
651,Refi,1.340,0.7
651,Refi,1.366,0.7
651,Refi,1.226,0.74
651,Refi,1.231,0.74
651,Refi,1.239,0.74
651,Refi,1.248,0
651,Refi,1.259,0.74
651,Refi,1.259,0.74
651,Refi,1.267,0
651,Refi,1.279,0.74
651,Refi,1.294,0.74
651,Refi,1.308,0.74
652,Refi,1.412,0
652,Refi,0.930,0.82
652,Refi,0.931,0.82
652,Purchase,1.075,0
652,Purchase,1.086,0.69
652,Refi,1.017,0.82
652,Refi,1.074,0
652,Refi,1.097,0.82
652,Refi,1.111,0.68
652,Refi,1.184,0.68
652,Refi,1.209,0
652,Refi,1.413,0.66
652,Refi,1.483,0.66
652,Refi,1.324,0.7
652,Refi,1.340,0.7
652,Refi,1.354,0.7
652,Refi,1.363,0.7
652,Refi,1.215,0.74
652,Refi,1.231,0.74
652,Refi,1.253,0.74
652,Refi,1.278,0.74
653,Purchase,0.995,0.57
653,Purchase,1.056,0.69
653,Purchase,1.101,0
653,Purchase,1.115,0
653,Purchase,1.189,0.63
653,Purchase,1.222,0
653,Purchase,1.268,0.25
653,Refi,1.170,0.68
653,Refi,1.171,0
653,Refi,1.195,0.68
653,Purchase,1.115,0
653,Refi,1.430,0.66
653,Refi,1.435,0.66
653,Refi,1.479,0.66
653,Refi,1.377,0
653,Refi,1.271,0.74
653,Refi,1.304,0.74
654,Refi,0.777,1
654,Purchase,0.990,0
654,Purchase,0.827,0
654,Purchase,0.854,0.38
654,Purchase,0.856,0
654,Refi,1.462,0
654,Refi,1.315,0.7
654,Refi,1.277,0.74
654,Refi,0.875,0.78
654,Refi,0.928,0.82
654,Refi,0.971,0
654,Purchase,1.026,0
654,Purchase,1.173,0
654,Purchase,1.187,0
654,Refi,1.114,0.68
654,Refi,1.124,0.68
654,Refi,1.125,0
654,Refi,1.167,0.68
654,Refi,1.204,0.68
654,Refi,1.427,0
654,Refi,1.450,0
654,Refi,1.467,0.66
654,Refi,1.471,0.66
654,Refi,1.316,0
654,Refi,1.372,0
654,Refi,1.378,0.7
654,Refi,1.215,0.74
654,Refi,1.290,0.74
655,Refi,1.533,0
655,Purchase,0.954,0
655,Purchase,0.908,0.38
655,Refi,0.972,0.82
655,Purchase,1.035,0
655,Purchase,1.152,0.63
655,Refi,1.195,0
655,Refi,1.475,0
655,Refi,1.218,0.74
655,Refi,1.233,0
655,Refi,0.961,0.82
655,Purchase,1.016,0.69
655,Purchase,1.084,0
655,Purchase,1.101,0.69
655,Purchase,1.166,0.63
655,Refi,1.080,0.82
655,Refi,1.176,0.68
655,Refi,1.181,0.68
655,Refi,1.458,0.66
655,Refi,1.461,0.66
655,Refi,1.338,0.7
655,Refi,1.347,0
655,Refi,1.384,0.7
656,Refi,1.794,0
656,Refi,1.434,0.66
656,Refi,1.448,0.66
656,Refi,1.383,0.7
656,Refi,1.40016,0.7
656,Refi,1.249,0
656,Refi,0.885,0.78
656,Refi,0.960,0.82
656,Purchase,1.028,0.69
656,Purchase,1.103,0.69
656,Purchase,1.167,0.63
656,Purchase,1.178,0.63
656,Refi,1.095,0.82
656,Refi,1.101,0.82
656,Refi,1.137,0.68
656,Refi,1.192,0.68
656,Refi,1.194,0.68
656,Refi,1.313,0
656,Refi,1.322,0.7
656,Refi,1.336,0
656,Refi,1.342,0.7
656,Refi,1.214,0
656,Refi,1.216,0.74
